version,release_date,artifact_id,service_name
0.9.2-alpha,2017-02-14,google-cloud-vision,vision
0.9.3-alpha,2017-02-22,google-cloud-vision,vision
0.9.4-beta,2017-03-06,google-cloud-vision,vision
1.100.0,2020-08-13,google-cloud-vision,vision
1.100.1,2020-09-23,google-cloud-vision,vision
1.100.10,2021-01-06,google-cloud-vision,vision
1.100.2,2020-10-08,google-cloud-vision,vision
1.100.3,2020-10-19,google-cloud-vision,vision
1.100.4,2020-10-22,google-cloud-vision,vision
1.100.5,2020-10-28,google-cloud-vision,vision
1.100.6,2020-11-02,google-cloud-vision,vision
1.100.7,2020-11-17,google-cloud-vision,vision
1.100.8,2020-12-10,google-cloud-vision,vision
1.100.9,2020-12-15,google-cloud-vision,vision
1.101.0,2021-02-22,google-cloud-vision,vision
1.101.1,2021-02-25,google-cloud-vision,vision
1.102.0,2021-03-11,google-cloud-vision,vision
1.102.1,2021-04-12,google-cloud-vision,vision
1.102.2,2021-04-27,google-cloud-vision,vision
1.102.3,2021-05-14,google-cloud-vision,vision
1.103.0,2021-05-31,google-cloud-vision,vision
1.103.1,2021-06-02,google-cloud-vision,vision
1.103.2,2021-06-09,google-cloud-vision,vision
1.103.3,2021-06-15,google-cloud-vision,vision
1.103.4,2021-06-16,google-cloud-vision,vision
1.103.5,2021-06-16,google-cloud-vision,vision
1.103.6,2021-07-05,google-cloud-vision,vision
1.103.7,2021-07-22,google-cloud-vision,vision
1.12.0,2017-11-16,google-cloud-vision,vision
1.13.0,2017-12-08,google-cloud-vision,vision
1.14.0,2017-12-12,google-cloud-vision,vision
1.15.0,2018-01-18,google-cloud-vision,vision
1.16.0,2018-02-05,google-cloud-vision,vision
1.17.0,2018-02-21,google-cloud-vision,vision
1.18.0,2018-02-27,google-cloud-vision,vision
1.19.0,2018-02-27,google-cloud-vision,vision
1.20.0,2018-03-06,google-cloud-vision,vision
1.21.0,2018-03-14,google-cloud-vision,vision
1.22.0,2018-03-16,google-cloud-vision,vision
